# Calls ported from the other trigger program, in the shape the
# pack stores them. Generated by tools/port_calls.py; a row edited
# here is gone on the next run. Wording is copied word for word.
394	Odin Valknut (Out)	1	C49		0	0	1	0.0	4.0	0	Out			1		0.0	
733	UCoB Death Sentence	1	26A9		3	0	2	0.0	4.0	0	Death Sentence on {target}!	Death Sentence on {target}		1		0.0	
733	UCoB Flatten	1	26D5		3	0	1	0.0	4.0	0	Flatten on {target}			1		0.0	
733	UCoB Liquid Hell	1	26AD		3	0	1	0.0	4.0	0	Move			1		0.0	
733	UCoB Plummet	1	26A8		3	0	1	0.0	4.0	0	Frontal on {target}			1		0.0	
733	UCoB Twister	1	26AA		3	0	1	0.0	4.0	0	Twister			1		0.0	
777	Uwu Aerial Blast	1	2B55		0	0	0	0.0	4.0	0	Raidwide			1		0.0	
777	Uwu Earthen Fury	1	2B90		0	0	1	0.0	4.0	0	Raidwide			1		0.0	
777	Uwu Flaming Crush	5	75		0	0	1	0.0	4.0	0	Stack on {target}			1		0.0	
777	Uwu Friction	1	2B48		0	0	1	0.0	4.0	0	Stack			1		0.0	
777	Uwu Hellfire	1	2B5E		0	0	0	0.0	4.0	0	Raidwide			1		0.0	
777	Uwu Homing Laser	1	2B7B		0	0	1	0.0	4.0	0	Homing Laser on {target}			1		0.0	
777	Uwu Mistral (Headmark)	5	10		0	1	0	0.0	4.0	0	Mistral on you			1		0.0	
777	Uwu Slipstream (Cleave)	1	2B53		0	0	1	0.0	4.0	0	Slipstream			1		0.0	
777	Uwu Ultima	1	2B8B		0	0	2	0.0	4.0	0	Ultima			1		0.0	
777	Uwu Ultima Laser: Left	1	2B86		0	0	0	0.0	4.0	0	Left Laser			1		0.0	
777	Uwu Ultima Laser: Middle	1	2B84		0	0	0	0.0	4.0	0	Middle Laser			1		0.0	
777	Uwu Ultima Laser: Right	1	2B85		0	0	0	0.0	4.0	0	Right Laser			1		0.0	
1003	P1S Flail: In, Out #1	1	65FA		3	0	1	0.0	4.0	0	In then Out			1		0.0	
1003	P1S Flail: In, Out #2	1	65FB		3	0	1	0.0	4.0	0	In then Out			1		0.0	
1003	P1S Flail: Left, Right	1	65F6		3	0	0	0.0	4.0	0	Left to Right			1		0.0	
1003	P1S Flail: Out, In #1	1	65F8		3	0	1	0.0	4.0	0	Out then In			1		0.0	
1003	P1S Flail: Out, In #2	1	65F9		3	0	1	0.0	4.0	0	Out then In			1		0.0	
1003	P1S Flail: Right, Left	1	65F7		3	0	0	0.0	4.0	0	Right to Left			1		0.0	
1003	P1S Heavy Hand	1	6629		3	0	0	0.0	4.0	0	Tankbuster			1		0.0	
